legacy,0,128,000D83A3,0,1,1,4294967295,0,0
fangames,0,256,0017741E,0,1,1,4294967295,0,0
object640,0,192,0017E0F8,0,1,1,4294967295,0,0
SRB2K_button,0,64,000A9D76,0,1,1,4294967295,0,0
SRB2_button,0,0,00280E52,0,1,1,4294967295,0,0
version,-32,0,00377F47,0,1,1,4294967295,0,0
draw,-32,32,000BD2F5,0,1,1,4294967295,0,0
persist,-32,64,000E6604,0,1,1,4294967295,0,0
obj_SRB2K,6,73,003A8D89,0,1,1,4294967295,0,0
obj_SRBC,10,137,003AF864,0,1,1,4294967295,0,0
obj_SRB2exem,9,202,0029CC26,0,1,1,4294967295,0,0
obj_fg,9,266,0023FAF6,0,1,1,4294967295,0,0
obj_SRB2,10,10,002060D2,0,1,1,4294967295,0,0
obj_linkno,832,416,003607D1,0,1,1,4294967295,0,0
